id,timestamp,value,created_at,updated_at,token,metric
36,2017-02-04,1633.7391198938694,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3911,2017-02-04,3.34187478373318e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
5927,2017-02-04,694185.0,2022-08-12 00:58:49 UTC,2022-08-12 00:58:49 UTC,btc,active_addresses
11972,2017-02-04,1035.1878305521643,2022-08-12 03:59:29 UTC,2022-08-12 03:59:29 UTC,btc,price
id,timestamp,value,created_at,updated_at,token,metric
37,2017-02-05,1650.4936334025629,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3912,2017-02-05,2.63186670919532e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
5928,2017-02-05,612564.0,2022-08-12 00:58:49 UTC,2022-08-12 00:58:49 UTC,btc,active_addresses
11973,2017-02-05,1012.3736414832302,2022-08-12 03:59:29 UTC,2022-08-12 03:59:29 UTC,btc,price
id,timestamp,value,created_at,updated_at,token,metric
38,2017-02-06,1661.638586958484,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3913,2017-02-06,3.2154377626903e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
5929,2017-02-06,721269.0,2022-08-12 00:58:49 UTC,2022-08-12 00:58:49 UTC,btc,active_addresses
11974,2017-02-06,1023.8401075212196,2022-08-12 03:59:29 UTC,2022-08-12 03:59:29 UTC,btc,price
id,timestamp,value,created_at,updated_at,token,metric
39,2017-02-07,1677.3171496093926,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3914,2017-02-07,3.02938058981976e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
5930,2017-02-07,668157.0,2022-08-12 00:58:49 UTC,2022-08-12 00:58:49 UTC,btc,active_addresses
11975,2017-02-07,1052.9187536131872,2022-08-12 03:59:29 UTC,2022-08-12 03:59:29 UTC,btc,price
id,timestamp,value,created_at,updated_at,token,metric
40,2017-02-08,1689.811132056626,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3915,2017-02-08,3.50476689006298e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
5931,2017-02-08,753077.0,2022-08-12 00:58:49 UTC,2022-08-12 00:58:49 UTC,btc,active_addresses
11976,2017-02-08,1053.3644261859613,2022-08-12 03:59:29 UTC,2022-08-12 03:59:29 UTC,btc,price
id,timestamp,value,created_at,updated_at,token,metric
41,2017-02-09,1708.156109912524,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3916,2017-02-09,3.09953822802381e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
5932,2017-02-09,659353.0,2022-08-12 00:58:49 UTC,2022-08-12 00:58:49 UTC,btc,active_addresses
11977,2017-02-09,986.504770313368,2022-08-12 03:59:29 UTC,2022-08-12 03:59:29 UTC,btc,price
id,timestamp,value,created_at,updated_at,token,metric
42,2017-02-10,1724.1342149621255,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3917,2017-02-10,2.91894168922208e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
5933,2017-02-10,623589.0,2022-08-12 00:58:49 UTC,2022-08-12 00:58:49 UTC,btc,active_addresses
11978,2017-02-10,995.5329949991578,2022-08-12 03:59:29 UTC,2022-08-12 03:59:29 UTC,btc,price
id,timestamp,value,created_at,updated_at,token,metric
43,2017-02-11,1737.9285042898562,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3918,2017-02-11,2.93081059567715e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
5934,2017-02-11,562366.0,2022-08-12 00:58:49 UTC,2022-08-12 00:58:49 UTC,btc,active_addresses
11979,2017-02-11,1007.3989617079326,2022-08-12 03:59:29 UTC,2022-08-12 03:59:29 UTC,btc,price
id,timestamp,value,created_at,updated_at,token,metric
44,2017-02-12,1751.7423101468391,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3919,2017-02-12,3.44788883376432e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
5935,2017-02-12,674942.0,2022-08-12 00:58:49 UTC,2022-08-12 00:58:49 UTC,btc,active_addresses
11980,2017-02-12,1003.4911709264042,2022-08-12 03:59:29 UTC,2022-08-12 03:59:29 UTC,btc,price
id,timestamp,value,created_at,updated_at,token,metric
45,2017-02-13,1763.0662532016709,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3920,2017-02-13,3.53623314868013e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
5936,2017-02-13,676693.0,2022-08-12 00:58:49 UTC,2022-08-12 00:58:49 UTC,btc,active_addresses
11981,2017-02-13,999.6760596956201,2022-08-12 03:59:29 UTC,2022-08-12 03:59:29 UTC,btc,price
id,timestamp,value,created_at,updated_at,token,metric
46,2017-02-14,1774.4922535951978,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3921,2017-02-14,2.9743676849967e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
5937,2017-02-14,630353.0,2022-08-12 00:58:49 UTC,2022-08-12 00:58:49 UTC,btc,active_addresses
11982,2017-02-14,1012.3347065741933,2022-08-12 03:59:29 UTC,2022-08-12 03:59:29 UTC,btc,price
id,timestamp,value,created_at,updated_at,token,metric
47,2017-02-15,1787.8194319664615,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3922,2017-02-15,3.07617016451973e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
5938,2017-02-15,677760.0,2022-08-12 00:58:49 UTC,2022-08-12 00:58:49 UTC,btc,active_addresses
11983,2017-02-15,1012.3683916411246,2022-08-12 03:59:29 UTC,2022-08-12 03:59:29 UTC,btc,price
id,timestamp,value,created_at,updated_at,token,metric
48,2017-02-16,1803.5231276057325,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3923,2017-02-16,3.17067960780386e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
5939,2017-02-16,697160.0,2022-08-12 00:58:49 UTC,2022-08-12 00:58:49 UTC,btc,active_addresses
11984,2017-02-16,1036.7109377537338,2022-08-12 03:59:29 UTC,2022-08-12 03:59:29 UTC,btc,price
id,timestamp,value,created_at,updated_at,token,metric
49,2017-02-17,1815.504295387722,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3924,2017-02-17,3.2486647109199e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
5940,2017-02-17,688930.0,2022-08-12 00:58:49 UTC,2022-08-12 00:58:49 UTC,btc,active_addresses
11985,2017-02-17,1056.6257510444327,2022-08-12 03:59:29 UTC,2022-08-12 03:59:29 UTC,btc,price
id,timestamp,value,created_at,updated_at,token,metric
50,2017-02-18,1829.7097918260552,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3925,2017-02-18,2.9359086813111e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
5941,2017-02-18,592596.0,2022-08-12 00:58:49 UTC,2022-08-12 00:58:49 UTC,btc,active_addresses
11986,2017-02-18,1060.2949015813936,2022-08-12 03:59:29 UTC,2022-08-12 03:59:29 UTC,btc,price
id,timestamp,value,created_at,updated_at,token,metric
51,2017-02-19,1839.3373362665238,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3926,2017-02-19,3.25575796820907e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
5942,2017-02-19,656025.0,2022-08-12 00:58:49 UTC,2022-08-12 00:58:49 UTC,btc,active_addresses
7940,2017-02-19,5.0,2022-08-12 00:58:53 UTC,2022-08-12 00:58:53 UTC,btc,google_trends
11987,2017-02-19,1052.594095957831,2022-08-12 03:59:29 UTC,2022-08-12 03:59:29 UTC,btc,price
id,timestamp,value,created_at,updated_at,token,metric
52,2017-02-20,1849.6414308771723,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3927,2017-02-20,3.01357295457005e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
5943,2017-02-20,644640.0,2022-08-12 00:58:49 UTC,2022-08-12 00:58:49 UTC,btc,active_addresses
7941,2017-02-20,5.0,2022-08-12 00:58:53 UTC,2022-08-12 00:58:53 UTC,btc,google_trends
11988,2017-02-20,1088.834687687339,2022-08-12 03:59:29 UTC,2022-08-12 03:59:29 UTC,btc,price
id,timestamp,value,created_at,updated_at,token,metric
53,2017-02-21,1861.5246180517267,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3928,2017-02-21,3.05212409988185e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
5944,2017-02-21,627239.0,2022-08-12 00:58:49 UTC,2022-08-12 00:58:49 UTC,btc,active_addresses
7942,2017-02-21,5.0,2022-08-12 00:58:53 UTC,2022-08-12 00:58:53 UTC,btc,google_trends
11989,2017-02-21,1128.9177373625066,2022-08-12 03:59:29 UTC,2022-08-12 03:59:29 UTC,btc,price
id,timestamp,value,created_at,updated_at,token,metric
54,2017-02-22,1869.5196818575162,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3929,2017-02-22,3.27052978633658e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
5945,2017-02-22,702266.0,2022-08-12 00:58:49 UTC,2022-08-12 00:58:49 UTC,btc,active_addresses
7943,2017-02-22,5.0,2022-08-12 00:58:53 UTC,2022-08-12 00:58:53 UTC,btc,google_trends
11990,2017-02-22,1128.5426718072454,2022-08-12 03:59:29 UTC,2022-08-12 03:59:29 UTC,btc,price
id,timestamp,value,created_at,updated_at,token,metric
55,2017-02-23,1882.7980000528792,2022-08-12 00:58:36 UTC,2022-08-12 00:58:36 UTC,btc,s2f_ratio
3930,2017-02-23,3.53059481709756e+18,2022-08-12 00:58:45 UTC,2022-08-12 00:58:45 UTC,btc,hash_rate
5946,2017-02-23,763642.0,2022-08-12 00:58:49 UTC,2022-08-12 00:58:49 UTC,btc,active_addresses
